region,parameter,powertrain,year,unit,value
Australia,EV stock share,EV,2011,percent,0.0003900000010617
Australia,EV sales share,EV,2011,percent,0.0065000001341104
Australia,EV sales share,EV,2012,percent,0.0299999993294477
Australia,EV stock share,EV,2012,percent,0.0024000001139938
Australia,EV stock share,EV,2013,percent,0.0046000001020729
Australia,EV sales share,EV,2013,percent,0.0340000018477439
Australia,EV sales share,EV,2014,percent,0.1599999964237213
Australia,EV stock share,EV,2014,percent,0.0140000004321336
Australia,EV stock share,EV,2015,percent,0.0270000007003545
Australia,EV sales share,EV,2015,percent,0.2000000029802322
Australia,EV sales share,EV,2016,percent,0.1500000059604644
Australia,EV stock share,EV,2016,percent,0.0370000004768371
Australia,EV stock share,EV,2017,percent,0.0520000010728836
Australia,EV sales share,EV,2017,percent,0.2599999904632568
Australia,EV sales share,EV,2018,percent,0.4199999868869781
Australia,EV stock share,EV,2018,percent,0.0769999995827674
Australia,EV stock share,EV,2019,percent,0.1400000005960464
Australia,EV sales share,EV,2019,percent,1.2000000476837158
Australia,EV sales share,EV,2020,percent,1.100000023841858
Australia,EV stock share,EV,2020,percent,0.1800000071525573
Australia,EV stock share,EV,2021,percent,0.3199999928474426
Australia,EV sales share,EV,2021,percent,2.799999952316284
Australia,EV sales share,EV,2022,percent,5.099999904632568
Australia,EV stock share,EV,2022,percent,0.5899999737739563
Australia,EV stock share,EV,2023,percent,1.2000000476837158
Australia,EV sales share,EV,2023,percent,12.0
Austria,EV stock share,EV,2010,percent,0.0078999996185302
Austria,EV stock share,EV,2011,percent,0.0219999998807907
Austria,EV stock share,EV,2012,percent,0.032999999821186
Austria,EV sales share,EV,2013,percent,0.2000000029802322
Austria,EV stock share,EV,2013,percent,0.0529999993741512
Austria,EV stock share,EV,2014,percent,0.0890000015497207
Austria,EV sales share,EV,2014,percent,0.5699999928474426
Austria,EV sales share,EV,2015,percent,0.8999999761581421
Austria,EV stock share,EV,2015,percent,0.1400000005960464
Austria,EV stock share,EV,2016,percent,0.2399999946355819
Austria,EV sales share,EV,2016,percent,1.5
Austria,EV sales share,EV,2017,percent,2.0
Austria,EV stock share,EV,2017,percent,0.3799999952316284
Austria,EV stock share,EV,2018,percent,0.5299999713897705
Austria,EV sales share,EV,2018,percent,2.5999999046325684
Austria,EV sales share,EV,2019,percent,3.5
Austria,EV stock share,EV,2019,percent,0.75
Austria,EV stock share,EV,2020,percent,1.2000000476837158
Austria,EV sales share,EV,2020,percent,9.5
Austria,EV sales share,EV,2021,percent,20.0
Austria,EV stock share,EV,2021,percent,2.0999999046325684
Austria,EV stock share,EV,2022,percent,3.0
Austria,EV sales share,EV,2022,percent,22.0
Austria,EV sales share,EV,2023,percent,26.0
Austria,EV stock share,EV,2023,percent,4.400000095367432
Belgium,EV sales share,EV,2010,percent,0.0099999997764825
Belgium,EV stock share,EV,2010,percent,0.001300000003539
Belgium,EV stock share,EV,2011,percent,0.0065000001341104
Belgium,EV sales share,EV,2011,percent,0.0520000010728836
Belgium,EV sales share,EV,2012,percent,0.1899999976158142
Belgium,EV stock share,EV,2012,percent,0.0219999998807907
Belgium,EV stock share,EV,2013,percent,0.032999999821186
Belgium,EV sales share,EV,2013,percent,0.1199999973177909
Belgium,EV sales share,EV,2014,percent,0.4099999964237213
Belgium,EV stock share,EV,2014,percent,0.06700000166893
Belgium,EV stock share,EV,2015,percent,0.1299999952316284
Belgium,EV sales share,EV,2015,percent,0.7699999809265137
Belgium,EV sales share,EV,2016,percent,1.7000000476837158
Belgium,EV stock share,EV,2016,percent,0.2800000011920929
Belgium,EV stock share,EV,2017,percent,0.5299999713897705
Belgium,EV sales share,EV,2017,percent,2.5999999046325684
Belgium,EV sales share,EV,2018,percent,2.400000095367432
Belgium,EV stock share,EV,2018,percent,0.7400000095367432
Belgium,EV stock share,EV,2019,percent,1.0
Belgium,EV sales share,EV,2019,percent,3.200000047683716
Belgium,EV sales share,EV,2020,percent,11.0
Belgium,EV stock share,EV,2020,percent,1.7999999523162842
Belgium,EV stock share,EV,2021,percent,2.900000095367432
Belgium,EV sales share,EV,2021,percent,18.0
Belgium,EV sales share,EV,2022,percent,26.0
Belgium,EV stock share,EV,2022,percent,4.599999904632568
Belgium,EV stock share,EV,2023,percent,8.199999809265137
Belgium,EV sales share,EV,2023,percent,41.0
Brazil,EV sales share,EV,2010,percent,0.0003499999875202
Brazil,EV sales share,EV,2011,percent,0.0002800000074785
Brazil,EV sales share,EV,2012,percent,0.001300000003539
Brazil,EV sales share,EV,2013,percent,0.0024000001139938
Brazil,EV sales share,EV,2014,percent,0.002199999988079
Brazil,EV stock share,EV,2014,percent,0.000159999995958
Brazil,EV sales share,EV,2015,percent,0.0041999998502433
Brazil,EV stock share,EV,2015,percent,0.0003800000122282
Brazil,EV stock share,EV,2016,percent,0.0007999999797903
Brazil,EV sales share,EV,2016,percent,0.0109999999403953
Brazil,EV sales share,EV,2017,percent,0.0230000000447034
Brazil,EV stock share,EV,2017,percent,0.001700000022538
Brazil,EV stock share,EV,2018,percent,0.0024999999441206
Brazil,EV sales share,EV,2018,percent,0.0199999995529651
Brazil,EV sales share,EV,2019,percent,0.0860000029206276
Brazil,EV stock share,EV,2019,percent,0.0070000002160668
Brazil,EV stock share,EV,2020,percent,0.0130000002682209
Brazil,EV sales share,EV,2020,percent,0.1599999964237213
Brazil,EV sales share,EV,2021,percent,0.8999999761581421
Brazil,EV stock share,EV,2021,percent,0.0460000000894069
Brazil,EV stock share,EV,2022,percent,0.0890000015497207
Brazil,EV sales share,EV,2022,percent,1.2000000476837158
Brazil,EV sales share,EV,2023,percent,3.0
Brazil,EV stock share,EV,2023,percent,0.209999993443489
Bulgaria,EV sales share,EV,2015,percent,0.0900000035762786
Bulgaria,EV sales share,EV,2016,percent,0.050000000745058
Bulgaria,EV sales share,EV,2017,percent,0.3400000035762787
Bulgaria,EV sales share,EV,2018,percent,0.6399999856948853
Bulgaria,EV sales share,EV,2019,percent,0.6700000166893005
Bulgaria,EV sales share,EV,2021,percent,2.200000047683716
Bulgaria,EV sales share,EV,2022,percent,4.0
Bulgaria,EV sales share,EV,2023,percent,5.800000190734863
Canada,EV sales share,EV,2011,percent,0.0410000011324882
Canada,EV stock share,EV,2011,percent,0.0028999999631196
Canada,EV stock share,EV,2012,percent,0.0130000002682209
Canada,EV sales share,EV,2012,percent,0.1400000005960464
Canada,EV sales share,EV,2013,percent,0.2199999988079071
Canada,EV stock share,EV,2013,percent,0.0270000007003545
Canada,EV stock share,EV,2014,percent,0.0529999993741512
Canada,EV sales share,EV,2014,percent,0.3499999940395355
Canada,EV sales share,EV,2015,percent,0.449999988079071
Canada,EV stock share,EV,2015,percent,0.0839999988675117
Canada,EV stock share,EV,2016,percent,0.1299999952316284
Canada,EV sales share,EV,2016,percent,0.7599999904632568
Canada,EV sales share,EV,2017,percent,1.0
Canada,EV stock share,EV,2017,percent,0.209999993443489
Canada,EV stock share,EV,2018,percent,0.3799999952316284
Canada,EV sales share,EV,2018,percent,2.799999952316284
Canada,EV sales share,EV,2019,percent,3.400000095367432
Canada,EV stock share,EV,2019,percent,0.5899999737739563
Canada,EV stock share,EV,2020,percent,0.8299999833106995
Canada,EV sales share,EV,2020,percent,4.199999809265137
Canada,EV sales share,EV,2021,percent,6.400000095367432
Canada,EV stock share,EV,2021,percent,1.2000000476837158
Canada,EV stock share,EV,2022,percent,1.7000000476837158
Canada,EV sales share,EV,2022,percent,9.5
Canada,EV sales share,EV,2023,percent,13.0
Canada,EV stock share,EV,2023,percent,2.299999952316284
Chile,EV sales share,EV,2011,percent,0.0024000001139938
Chile,EV stock share,EV,2011,percent,0.0002200000017182
Chile,EV stock share,EV,2012,percent,0.0003800000122282
Chile,EV sales share,EV,2012,percent,0.0020000000949949
Chile,EV sales share,EV,2013,percent,0.0019000000320374
Chile,EV stock share,EV,2013,percent,0.0005099999834783
Chile,EV stock share,EV,2014,percent,0.0010000000474974
Chile,EV sales share,EV,2014,percent,0.0071000000461936
Chile,EV sales share,EV,2015,percent,0.0170000009238719
Chile,EV stock share,EV,2015,percent,0.0020999999251216
Chile,EV stock share,EV,2016,percent,0.0028999999631196
Chile,EV sales share,EV,2016,percent,0.0130000002682209
Chile,EV sales share,EV,2017,percent,0.0610000006854534
Chile,EV stock share,EV,2017,percent,0.0065000001341104
Chile,EV stock share,EV,2018,percent,0.0109999999403953
Chile,EV sales share,EV,2018,percent,0.0700000002980232
Chile,EV sales share,EV,2019,percent,0.1400000005960464
Chile,EV stock share,EV,2019,percent,0.0170000009238719
Chile,EV stock share,EV,2020,percent,0.0219999998807907
Chile,EV sales share,EV,2020,percent,0.1599999964237213
Chile,EV sales share,EV,2021,percent,0.1899999976158142
Chile,EV stock share,EV,2021,percent,0.0350000001490116
Chile,EV stock share,EV,2022,percent,0.0680000036954879
Chile,EV sales share,EV,2022,percent,0.5
Chile,EV sales share,EV,2023,percent,0.3100000023841858
Chile,EV stock share,EV,2023,percent,0.0869999974966049
China,EV stock share,EV,2010,percent,0.0031000000890344
China,EV sales share,EV,2010,percent,0.0099999997764825
China,EV sales share,EV,2011,percent,0.0340000018477439
China,EV stock share,EV,2011,percent,0.0092000002041459
China,EV stock share,EV,2012,percent,0.0189999993890523
China,EV sales share,EV,2012,percent,0.0729999989271164
China,EV sales share,EV,2013,percent,0.0949999988079071
China,EV stock share,EV,2013,percent,0.0309999994933605
China,EV stock share,EV,2014,percent,0.0700000002980232
China,EV sales share,EV,2014,percent,0.4000000059604645
China,EV sales share,EV,2015,percent,1.0
China,EV stock share,EV,2015,percent,0.209999993443489
China,EV stock share,EV,2016,percent,0.3899999856948852
China,EV sales share,EV,2016,percent,1.5
China,EV sales share,EV,2017,percent,2.400000095367432
China,EV stock share,EV,2017,percent,0.6600000262260437
China,EV sales share,EV,2018,percent,4.699999809265137
China,EV stock share,EV,2018,percent,1.100000023841858
China,EV stock share,EV,2019,percent,1.5
China,EV sales share,EV,2019,percent,5.0
China,EV sales share,EV,2020,percent,5.699999809265137
China,EV stock share,EV,2020,percent,1.899999976158142
